   1 4602 |  10 1.0   12    768    1    0   0%      0 |  30.2 -38.2   1   27  4.86k    1    0   0%      0   547n   10

          |--------------------DL---------------------|-------------------------UL----------------------------------
 pci rnti | cqi  ri  mcs  brate   ok  nok  (%)  dl_bs | pusch  rsrp  ri  mcs  brate   ok  nok  (%)    bsr     ta  phr
   1 4602 |   9 1.0   12    768    1    0   0%      0 |  29.5 -39.1   1   27  14.6k    3    0   0%      0   535n    8
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   552n    8
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   574n    8
   1 4602 |  10 1.0   14    928    1    0   0%      0 |  28.7 -38.8   1   27  4.86k    1    0   0%      0   566n    9
   1 4602 |  10 1.0   14    928    1    0   0%      0 |  28.9 -38.7   1   27  4.86k    1    0   0%      0   536n    8
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   561n    8
   1 4602 |   9 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   611n    8
   1 4602 |  10 1.0   14   1.9k    2    0   0%      0 |  26.7 -42.7   1   27  4.86k    1    0   0%      0   585n   11
   1 4602 |  10 1.0   14   2.8k    3    0   0%      0 |  26.2 -43.0   1   27  9.73k    2    0   0%      0   592n   11
   1 4602 |  10 1.0   15   3.8k    4    0   0%      0 |  25.6 -42.8   1   27  9.73k    2    0   0%      0   565n   11
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   554n   11

          |--------------------DL---------------------|-------------------------UL----------------------------------
 pci rnti | cqi  ri  mcs  brate   ok  nok  (%)  dl_bs | pusch  rsrp  ri  mcs  brate   ok  nok  (%)    bsr     ta  phr
   1 4602 |   9 1.0   14    928    1    0   0%      0 |  27.0 -42.1   1   27  4.86k    1    0   0%      0   564n    7
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   584n    7
   1 4602 |   9 1.0    0      0    0    0   0%      0 |  33.9 -30.6   1   27  4.86k    1    0   0%      0   596n    3
   1 4602 |   9 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   615n    3
   1 4602 |   9 1.0   12    768    1    0   0%      0 |  28.0 -40.0   1   27  4.86k    1    0   0%      0   614n    7
   1 4602 |   9 1.0    0      0    0    0   0%      0 |  28.7 -38.7   1   27  4.86k    1    0   0%      0   575n    8
   1 4602 |  11 1.0   16   2.2k    2    0   0%      0 |  25.2 -43.3   1   27  4.86k    1    1  50%      0   590n    9
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   625n    9
   1 4602 |  11 1.0   16   2.1k    2    0   0%      0 |  26.6 -42.6   1   27  4.86k    1    1  50%      0   592n    8
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   592n    8
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   516n    8

          |--------------------DL---------------------|-------------------------UL----------------------------------
 pci rnti | cqi  ri  mcs  brate   ok  nok  (%)  dl_bs | pusch  rsrp  ri  mcs  brate   ok  nok  (%)    bsr     ta  phr
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   521n    8
   1 4602 |  11 1.0   14    928    1    0   0%      0 |  34.4 -24.7   1   27  4.86k    1    0   0%      0   532n    0
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   412n    0
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   432n    0
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   438n    0
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   407n    0
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   430n    0
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   435n    0
   1 4602 |   9 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   451n    0
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   455n    0
   1 4602 |   9 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   456n    0

          |--------------------DL---------------------|-------------------------UL----------------------------------
 pci rnti | cqi  ri  mcs  brate   ok  nok  (%)  dl_bs | pusch  rsrp  ri  mcs  brate   ok  nok  (%)    bsr     ta  phr
   1 4602 |   9 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   458n    0
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   462n    0
   1 4602 |  10 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   476n    0
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   447n    0
   1 4602 |  11 1.0    0      0    0    0   0%      0 |   n/a   n/a   1    0      0    0    0   0%      0   469n    0
